yyyy,mm,dd,hr,min,sec,0mab,1mab,2mab,3mab,4mab,5mab,6mab,7mab,8mab,9mab,10mab,11mab,12mab,13mab,14mab,15mab,16mab,17mab,18mab,19mab,20mab
2005,1,1,0,0,0,14.916,nan,14.898,14.887,14.884,14.88,nan,14.878,14.885,14.915,14.968,15.331,15.695,16.435,16.68,16.862,16.921,16.921,16.921,16.921,16.921
2005,1,1,1,0,0,14.908,nan,14.883,14.868,14.862,14.856,nan,14.841,14.837,14.884,14.982,15.532,16.081,16.614,16.815,16.929,16.944,16.944,16.944,16.944,16.944
2005,1,1,2,0,0,14.91,nan,14.898,14.891,14.889,14.887,14.704,14.886,14.898,15.1,15.493,15.977,16.462,16.9,16.931,16.944,16.943,16.943,16.943,16.943,16.943
2005,1,1,3,0,0,14.878,nan,14.862,14.853,14.855,14.858,14.704,14.875,15.044,15.439,16.059,16.349,16.64,16.874,16.886,16.89,16.888,16.888,16.888,16.888,16.888
2005,1,1,4,0,0,14.85,nan,14.835,14.826,14.825,14.827,14.704,14.879,15.083,15.464,16.022,16.321,16.62,16.828,16.827,16.823,16.82,16.82,16.82,16.82,16.82
2005,1,1,5,0,0,14.838,nan,14.821,14.81,14.809,14.811,14.704,14.815,14.869,15.047,15.348,15.834,16.32,16.695,16.744,16.768,16.767,16.767,16.767,16.767,16.767
2005,1,1,6,0,0,14.849,nan,14.833,14.823,14.819,14.818,14.704,14.817,14.818,14.855,14.928,15.3,15.672,16.503,16.627,16.691,16.693,16.693,16.693,16.693,16.693
2005,1,1,7,0,0,14.821,nan,14.811,14.804,14.803,14.804,14.704,14.804,14.807,14.818,14.84,15.111,15.383,16.359,16.517,16.599,16.602,16.602,16.602,16.602,16.602
2005,1,1,8,0,0,14.826,nan,14.807,14.795,14.797,14.798,14.704,14.798,14.856,15.018,15.283,15.628,15.973,16.4,16.491,16.535,16.534,16.534,16.534,16.534,16.534
2005,1,1,9,0,0,14.814,nan,14.785,14.767,14.766,14.764,14.704,14.757,14.807,15.021,15.399,15.727,16.055,16.447,16.478,16.492,16.49,16.49,16.49,16.49,16.49
2005,1,1,10,0,0,14.789,nan,14.76,14.742,14.738,14.729,14.704,14.729,14.781,15.014,15.429,15.725,16.022,16.339,16.41,16.413,16.381,16.381,16.381,16.381,16.381
2005,1,1,11,0,0,14.773,nan,14.751,14.736,14.725,14.71,14.704,14.705,14.741,14.932,15.279,15.567,15.854,16.157,16.253,16.345,16.388,16.388,16.388,16.388,16.388
2005,1,1,12,0,0,14.739,nan,14.73,14.724,14.709,14.699,14.704,14.725,14.815,15.065,15.474,15.686,15.898,16.072,16.145,16.273,16.364,16.364,16.364,16.364,16.364
2005,1,1,13,0,0,14.724,nan,14.72,14.718,14.716,14.714,14.719,14.733,14.78,14.99,15.365,15.588,15.81,15.988,16.092,16.243,16.343,16.343,16.343,16.343,16.343
2005,1,1,14,0,0,14.691,nan,14.696,14.699,14.706,14.705,14.707,14.713,14.765,14.949,15.265,15.494,15.724,15.924,16.067,16.249,16.359,16.359,16.359,16.359,16.359
2005,1,1,15,0,0,14.695,nan,14.697,14.697,14.707,14.713,14.72,14.728,14.759,14.854,15.013,15.274,15.535,15.829,16.03,16.226,16.322,16.322,16.322,16.322,16.322
2005,1,1,16,0,0,14.711,nan,14.706,14.703,14.706,14.71,14.714,14.72,14.747,14.849,15.027,15.258,15.49,15.894,16.107,16.256,16.299,16.299,16.299,16.299,16.299
2005,1,1,17,0,0,14.721,nan,14.72,14.719,14.716,14.714,14.716,14.72,14.734,14.797,14.909,15.138,15.366,15.852,16.111,16.261,16.281,16.281,16.281,16.281,16.281
2005,1,1,18,0,0,14.715,nan,14.702,14.694,14.7,14.704,14.708,14.712,14.76,14.887,15.095,15.196,15.297,15.851,16.098,16.247,16.273,16.273,16.273,16.273,16.273
2005,1,1,19,0,0,14.727,nan,14.704,14.69,14.683,14.69,14.704,14.723,14.77,14.876,15.042,15.13,15.218,15.506,15.947,16.238,16.309,16.309,16.309,16.309,16.309
2005,1,1,20,0,0,14.723,nan,14.706,14.695,14.702,14.711,14.723,14.739,14.768,14.846,14.971,15.053,15.135,15.436,15.931,16.268,16.358,16.358,16.358,16.358,16.358
2005,1,1,21,0,0,14.725,nan,14.71,14.7,14.702,14.728,14.76,14.797,14.818,14.865,14.938,15.049,15.16,15.674,16.082,16.343,16.399,16.399,16.399,16.399,16.399
2005,1,1,22,0,0,14.729,nan,14.713,14.702,14.734,14.791,14.822,14.827,14.857,14.921,15.02,15.118,15.215,15.781,16.193,16.429,16.458,16.458,16.458,16.458,16.458
2005,1,1,23,0,0,14.734,nan,14.722,14.715,14.767,14.812,14.846,14.868,14.915,15.011,15.155,15.241,15.328,16.044,16.293,16.438,16.459,16.459,16.459,16.459,16.459
2005,1,2,0,0,0,14.754,nan,14.754,14.754,14.821,14.855,14.894,14.938,15.064,15.249,15.492,15.741,15.989,16.385,16.427,16.449,16.451,16.451,16.451,16.451,16.451
2005,1,2,1,0,0,14.739,nan,14.74,14.741,14.803,14.847,14.887,14.922,14.994,15.11,15.269,15.45,15.632,16.341,16.408,16.433,16.426,16.426,16.426,16.426,16.426
2005,1,2,2,0,0,14.744,nan,14.743,14.742,14.785,14.843,14.889,14.923,14.946,15.031,15.18,15.409,15.637,16.384,16.408,16.413,16.405,16.405,16.405,16.405,16.405
2005,1,2,3,0,0,14.765,nan,14.755,14.748,14.777,14.841,14.889,14.92,14.965,15.066,15.223,15.483,15.742,16.369,16.38,16.381,16.377,16.377,16.377,16.377,16.377
2005,1,2,4,0,0,14.769,nan,14.744,14.728,14.786,14.844,14.897,14.946,15.057,15.269,15.582,15.738,15.894,16.16,16.244,16.286,16.287,16.287,16.287,16.287,16.287
2005,1,2,5,0,0,14.754,nan,14.749,14.746,14.785,14.86,14.92,14.966,15.05,15.191,15.389,15.626,15.862,16.203,16.22,16.222,16.216,16.216,16.216,16.216,16.216
2005,1,2,6,0,0,14.739,nan,14.774,14.795,14.858,14.892,14.928,14.966,15.05,15.21,15.446,15.751,16.057,16.196,16.194,16.19,16.187,16.187,16.187,16.187,16.187
2005,1,2,7,0,0,14.746,nan,14.739,14.735,14.787,14.847,14.885,14.9,14.951,15.039,15.165,15.55,15.934,16.199,16.199,16.195,16.192,16.192,16.192,16.192,16.192
2005,1,2,8,0,0,14.742,nan,14.736,14.732,14.768,14.821,14.861,14.888,14.918,15.014,15.175,15.614,16.054,16.216,16.208,16.194,16.183,16.183,16.183,16.183,16.183
2005,1,2,9,0,0,14.75,nan,14.759,14.765,14.779,14.812,14.845,14.878,14.909,15.02,15.214,15.608,16.001,16.219,16.213,16.135,16.06,16.06,16.06,16.06,16.06
2005,1,2,10,0,0,14.763,nan,14.777,14.786,14.802,14.826,14.85,14.873,14.93,15.093,15.364,15.755,16.147,16.247,16.229,16.113,16.005,16.005,16.005,16.005,16.005
2005,1,2,11,0,0,14.767,nan,14.78,14.789,14.816,14.84,14.877,14.925,15.061,15.293,15.618,16.003,16.388,16.285,16.219,16.088,15.991,15.991,15.991,15.991,15.991
2005,1,2,12,0,0,14.775,nan,14.793,14.804,14.828,14.847,14.883,14.934,15.147,15.455,15.859,16.175,16.49,16.377,16.298,16.159,16.061,16.061,16.061,16.061,16.061
2005,1,2,13,0,0,14.785,nan,14.781,14.778,14.794,14.809,14.826,nan,15.063,15.388,15.822,16.154,16.485,16.499,16.378,16.215,16.113,16.113,16.113,16.113,16.113
2005,1,2,14,0,0,14.778,14.771,14.758,14.746,14.752,14.775,nan,14.918,15.384,15.848,16.31,16.416,16.523,16.483,16.349,16.194,16.106,16.106,16.106,16.106,16.106
2005,1,2,15,0,0,14.744,14.742,14.739,14.736,14.739,14.763,14.827,14.93,15.415,15.873,16.304,16.428,16.552,16.521,16.416,16.277,16.19,16.19,16.19,16.19,16.19
2005,1,2,16,0,0,14.734,14.73,14.724,14.717,14.735,14.754,14.784,14.827,15.226,15.685,16.205,16.383,16.561,16.544,16.475,16.354,16.267,16.267,16.267,16.267,16.267
2005,1,2,17,0,0,14.729,14.729,14.727,14.726,14.741,14.754,14.785,14.832,15.202,15.658,16.199,16.387,16.575,16.548,16.492,16.38,16.296,16.296,16.296,16.296,16.296
2005,1,2,18,0,0,14.739,14.737,14.733,14.729,14.757,14.78,14.833,14.918,15.215,15.597,16.066,16.314,16.561,16.549,16.481,16.386,16.325,16.325,16.325,16.325,16.325
2005,1,2,19,0,0,14.737,14.722,14.698,14.673,14.678,14.599,14.563,14.57,14.959,15.451,16.047,16.286,16.526,16.557,16.473,16.4,16.369,16.369,16.369,16.369,16.369
2005,1,2,20,0,0,14.927,14.862,14.754,14.646,14.571,14.524,14.504,14.51,14.638,15.093,15.874,16.172,16.47,16.556,16.474,16.395,16.357,16.357,16.357,16.357,16.357
2005,1,2,21,0,0,15.668,15.439,15.058,14.676,14.527,14.514,14.508,14.508,14.529,14.725,15.097,15.668,16.239,16.508,16.43,16.363,16.334,16.334,16.334,16.334,16.334
2005,1,2,22,0,0,15.911,15.609,15.106,14.603,14.512,14.515,14.524,14.54,14.549,14.646,14.829,15.416,16.004,16.284,16.274,16.274,16.279,16.279,16.279,16.279,16.279
2005,1,2,23,0,0,15.894,15.598,15.103,14.609,14.52,14.53,14.545,14.565,14.582,14.779,15.154,15.556,15.957,16.107,16.191,16.256,16.278,16.278,16.278,16.278,16.278
2005,1,3,0,0,0,16.172,15.847,15.305,14.763,14.625,14.594,14.58,14.583,14.619,14.904,15.436,15.679,15.921,16.173,16.243,16.28,16.283,16.283,16.283,16.283,16.283
2005,1,3,1,0,0,16.43,16.035,15.377,14.719,14.706,14.683,14.654,14.619,14.737,15.055,15.572,15.768,15.963,16.18,16.245,16.271,16.265,16.265,16.265,16.265,16.265
2005,1,3,2,0,0,16.509,16.099,15.417,14.734,14.727,14.713,14.688,14.653,14.908,15.257,15.699,15.883,16.068,16.187,16.223,16.239,16.238,16.238,16.238,16.238,16.238
2005,1,3,3,0,0,16.503,16.09,15.402,14.714,14.71,14.705,14.696,14.684,14.821,15.148,15.664,15.883,16.102,16.164,16.176,16.193,16.204,16.204,16.204,16.204,16.204
2005,1,3,4,0,0,16.485,16.084,15.416,14.748,14.743,14.737,14.731,14.726,14.956,15.326,15.837,16.004,16.171,16.131,16.15,16.168,16.178,16.178,16.178,16.178,16.178
2005,1,3,5,0,0,16.52,16.124,15.465,14.805,14.762,14.757,14.752,14.746,15.016,15.448,16.041,16.137,16.233,16.136,16.168,16.189,16.194,16.194,16.194,16.194,16.194
2005,1,3,6,0,0,16.745,16.292,15.536,14.78,14.771,14.77,nan,14.771,15.078,15.543,16.167,16.185,16.203,16.19,16.185,16.155,16.127,16.127,16.127,16.127,16.127
