stationid,yeardata,jday,timedata,watertemp1_avg,watertemp1Flag,sp_cond1_avg,salinity1_avg,salinity1Flag,dis_oxy1_avg,dis_oxy1Flag,dis_oxy2_avg,dis_oxy2Flag,depth1_avg,depth1Flag,turbidity1_avg,comments
628,2019,213,30,30.1299992,3,30.1900005,18.6000004,3,71.5500031,3,4.86999989,3,1.80999994,3,3.17000008,
628,2019,213,100,30.0300007,3,29.25,17.9699993,3,86,3,5.88000011,3,1.82000005,3,3.0999999,
628,2019,213,130,30.0300007,3,29.3299999,18.0200005,3,93.1999969,3,6.38000011,3,1.85699999,3,3.33999991,
628,2019,213,200,30.0200005,3,29.2999992,18,3,86.9000015,3,5.94999981,3,1.88,3,3.24000001,
628,2019,213,230,30.0200005,3,29.25,17.9599991,3,94.1999969,3,6.44999981,3,1.89499998,3,3.55999994,
628,2019,213,300,29.8700008,3,29.0900002,17.8600006,3,99,3,6.80000019,3,1.91900003,3,4.32999992,
628,2019,213,330,29.6900005,3,28.8700008,17.7099991,3,89.3000031,3,6.1500001,3,1.96300006,3,5.15999985,
628,2019,213,400,29.6399994,3,28.4300003,17.4200001,3,84.8000031,3,5.86000013,3,1.98800004,3,6.71000004,
628,2019,213,430,29.6499996,3,28.2900009,17.3199997,3,82.3000031,3,5.69000006,3,2.03500009,3,7.23000002,
628,2019,213,500,29.7299995,3,28.2299995,17.2900009,3,84.9000015,3,5.86000013,3,2.046,3,8.34000015,
628,2019,213,530,29.8400002,3,28.1299992,17.2099991,3,88.3000031,3,6.09000015,3,2.09500003,3,9.90999985,
628,2019,213,600,30.0699997,3,32.5600014,20.2199993,3,87.1999969,3,5.88999987,3,2.10800004,3,11.4200001,
628,2019,213,630,30.0400009,3,32.0800018,19.8899994,3,85.8000031,3,5.80999994,3,2.17499995,3,8.56000042,
628,2019,213,700,29.9599991,3,29.5499992,18.1700001,3,88.8000031,3,6.07999992,3,2.20799994,3,10.5,
628,2019,213,730,29.9200001,3,29.2399998,17.9599991,3,89.5,3,6.13999987,3,2.22199988,3,11.96,
628,2019,213,800,29.8700008,3,28.0400009,17.1499996,3,87.6999969,3,6.05000019,3,2.24499989,3,13.0699997,
628,2019,213,830,29.8899994,3,28.0499992,17.1599998,3,82.3000031,3,5.67000008,3,2.273,3,12.8299999,
628,2019,213,900,29.9400005,3,28.1000004,17.1900005,3,81,3,5.57999992,3,2.28299999,3,11.6400003,
628,2019,213,930,30.0400009,3,28.1299992,17.2099991,3,86.5999985,3,5.94999981,3,2.30299997,3,11.8900003,
628,2019,213,1000,30.1800003,3,28.1299992,17.2099991,3,82.5999985,3,5.65999985,3,2.29999995,3,12.1499996,
628,2019,213,1030,30.3400002,3,28.0900002,17.1700001,3,84.6999969,3,5.78999996,3,2.29999995,3,14.7200003,
628,2019,213,1100,30.4699993,3,28.0499992,17.1499996,3,91.3000031,3,6.23000002,3,2.31299996,3,13.4099998,
628,2019,213,1130,30.6100006,3,28.0400009,17.1399994,3,91.8000031,3,6.25,3,2.29200006,3,13.04,
628,2019,213,1200,30.6200008,3,28.0400009,17.1299992,3,96.6999969,3,6.57999992,3,2.25300002,3,17.5900002,
628,2019,213,1230,30.7700005,3,28.0400009,17.1299992,3,96,3,6.51999998,3,2.23600006,3,15.1499996,
628,2019,213,1300,30.8799992,3,28.0499992,17.1399994,3,95.5,3,6.48000002,3,2.21799994,3,12.3199997,
628,2019,213,1330,31.0100002,3,28.0699997,17.1499996,3,99.8000031,3,6.75,3,2.15300012,3,15.04,
628,2019,213,1400,31.2199993,3,28.1200008,17.1800003,3,103.599998,3,6.98999977,3,2.12199998,3,12.3400002,
628,2019,213,1430,31.2700005,3,28.1599998,17.2000008,3,100.900002,3,6.78999996,3,2.08599997,3,10.6499996,
628,2019,213,1500,31.5499992,3,28.2199993,17.2399998,3,108.800003,3,7.28999996,3,2.03399992,3,11.6999998,
628,2019,213,1530,31.6299992,3,28.1700001,17.2000008,3,108.900002,3,7.28999996,3,1.99300003,3,11.9200001,
628,2019,213,1600,31.8299999,3,28.1399994,17.1800003,3,110.5,3,7.38000011,3,1.95099998,3,11.29,
628,2019,213,1630,31.8999996,3,28.1900005,17.2099991,3,105.5,3,7.03000021,3,1.926,3,11.5200005,
628,2019,213,1700,30.9699993,3,29.7600002,18.2900009,3,121.199997,3,8.14999962,3,1.90600002,3,7.26000023,
628,2019,213,1730,30.6900005,3,31.4500008,19.4400005,3,119.400002,3,8.02000046,3,1.89499998,3,5.76000023,
628,2019,213,1800,30.6100006,3,31.7000008,19.6200008,3,113.099998,3,7.5999999,3,1.87699997,3,6.15999985,
628,2019,213,1830,30.5400009,3,32.2799988,20.0100002,3,107.699997,3,7.23000002,3,1.87600005,3,4.94999981,
628,2019,213,1900,30.5,3,32.3100014,20.0400009,3,103.900002,3,6.98000002,3,1.847,3,6.44000006,
628,2019,213,1930,30.4899998,3,32,19.8199997,3,104.699997,3,7.03999996,3,1.81599998,3,4.6500001,
628,2019,213,2000,30.4200001,3,31.9099998,19.7600002,3,104.300003,3,7.01999998,3,1.78600001,3,4.09000015,
628,2019,213,2030,30.4200001,3,31.9200001,19.7700005,3,102.300003,3,6.88999987,3,1.778,3,4.44000006,
628,2019,213,2100,30.3700008,3,31.8099995,19.7000008,3,101.599998,3,6.8499999,3,1.78299999,3,4.71999979,
628,2019,213,2130,30.3600006,3,31.8600006,19.7299995,3,101.400002,3,6.84000015,3,1.75199997,3,4.44999981,
628,2019,213,2200,30.3600006,3,31.9099998,19.7600002,3,104.5,3,7.03999996,3,1.76999998,3,4.67999983,
628,2019,213,2230,30.2800007,3,31.1299992,19.2299995,3,101.300003,3,6.86000013,3,1.75399995,3,4.25,
628,2019,213,2300,30.3099995,3,30.5100002,18.8099995,3,102.699997,3,6.96999979,3,1.778,3,4.38000011,
628,2019,213,2330,30.3700008,3,29.9500008,18.4300003,3,101.099998,3,6.86000013,3,1.78499997,3,4.51999998,
628,2019,213,2400,30.4200001,3,29.8400002,18.3500004,3,103.300003,3,7.01000023,3,1.78699994,3,5.28999996,
628,2019,214,30,30.2999992,3,31.9200001,19.7700005,3,98.8000031,3,6.65999985,3,1.80799997,3,6.53999996,
628,2019,214,100,30.3199997,3,32.3300018,20.0499992,3,91.4000015,3,6.15999985,3,1.80900002,3,8.5,
628,2019,214,130,30.3299999,3,32.7000008,20.3099995,3,85.5999985,3,5.76000023,3,1.81599998,3,7.65999985,
628,2019,214,200,30.2099991,3,31.3600006,19.3899994,3,92.8000031,3,6.28000021,3,1.84000003,3,7.61000013,
628,2019,214,230,30.1800003,3,31.0400009,19.1700001,3,96.5,3,6.53999996,3,1.88499999,3,7,
628,2019,214,300,30.0100002,3,30.7299995,18.9699993,3,90.6999969,3,6.17999983,3,1.89199996,3,6.51000023,
628,2019,214,330,29.9899998,3,31.3400002,19.3799992,3,85.9000015,3,5.84000015,3,1.90799999,3,6.92999983,
628,2019,214,400,29.9599991,3,31.4400005,19.4599991,3,81,3,5.51000023,3,1.93700004,3,5.98999977,
628,2019,214,430,29.5900002,3,31.0599995,19.2000008,3,81.8000031,3,5.61000013,3,1.98599994,3,8.10000038,
628,2019,214,500,29.6100006,3,31.3799992,19.4200001,3,85.5999985,3,5.8499999,3,2.01799989,3,12.2700005,
628,2019,214,530,29.5499992,3,30.6700001,18.9400005,3,85.9000015,3,5.9000001,3,2.04999995,3,9.71000004,
628,2019,214,600,29.8700008,3,32.9199982,20.4699993,3,80.4000015,3,5.44000006,3,2.09100008,3,11.3500004,
628,2019,214,630,30.2000008,3,36.0400009,22.6200008,3,76.0199966,3,5.05999994,3,2.12199998,3,19.4799995,
628,2019,214,700,30.25,3,36.5800018,22.9899998,3,71.0699997,3,4.71999979,3,2.14400005,3,15.2399998,
628,2019,214,730,29.8199997,3,31.7900009,19.7000008,3,80.6999969,3,5.48999977,3,2.18199992,3,15.6199999,
628,2019,214,800,29.6399994,3,29.2999992,18.0100002,3,84.8000031,3,5.84000015,3,2.2019999,3,14.0900002,
628,2019,214,830,29.6900005,3,29.3400002,18.0300007,3,75.2699966,3,5.17999983,3,2.23099995,3,10.7200003,
628,2019,214,900,29.8400002,3,29.2700005,17.9799995,3,78.5699997,3,5.38999987,3,2.25699997,3,15.9099998,
628,2019,214,930,30.0200005,3,29.0799999,17.8500004,3,74.9599991,3,5.13999987,3,2.2809999,3,14.3000002,
628,2019,214,1000,30.1499996,3,29.1299992,17.8799992,3,80.3000031,3,5.48999977,3,2.30500007,3,31.2700005,
628,2019,214,1030,30.3199997,3,29.1399994,17.8799992,3,81.9000015,3,5.57999992,3,2.32299995,3,32.9799995,
628,2019,214,1100,30.4500008,3,29.1100006,17.8600006,3,91.9000015,3,6.25,3,2.32599998,3,14.8699999,
