stationid,yeardata,jday,timedata,watertemp1_avg,watertemp1Flag,sp_cond1_avg,salinity1_avg,salinity1Flag,dis_oxy1_avg,dis_oxy1Flag,dis_oxy2_avg,dis_oxy2Flag,depth1_avg,depth1Flag,turbidity1_avg,comments
628,2019,1,30,16.6800003,3,29.1100006,18.0400009,3,76.6600037,3,6.69000006,3,1.921,3,9.10999966,
628,2019,1,100,16.1900005,3,18.7900009,11.1899996,3,91.0999985,3,8.36999989,3,1.89199996,3,8.89000034,
628,2019,1,130,16.1000004,3,16.4400005,9.68000031,3,93.3000031,3,8.67000008,3,1.87399995,3,9.40999985,
628,2019,1,200,16.0300007,3,13.6899996,7.94000006,3,95.8000031,3,9,3,1.85699999,3,9.81999969,
628,2019,1,230,15.9799995,3,11.6499996,6.67000008,3,97.5,3,9.25,3,1.82200003,3,10.8400002,
628,2019,1,300,15.96,3,11.0500002,6.30999994,3,98.0999985,3,9.32999992,3,1.79200006,3,11.3400002,
628,2019,1,330,15.96,3,10.3000002,5.8499999,3,99,3,9.43999958,3,1.77900004,3,11.5500002,
628,2019,1,400,15.9499998,3,10.5100002,5.98000002,3,98.8000031,3,9.40999985,3,1.76999998,3,11.4799995,
628,2019,1,430,15.9700003,3,10.3100004,5.8499999,3,99,3,9.43000031,3,1.73699999,3,11.2700005,
628,2019,1,500,15.9700003,3,9.31999969,5.25,3,99.5999985,3,9.52999973,3,1.72099996,3,11.5900002,
628,2019,1,530,15.9200001,3,8.81000042,4.94000006,3,99.9000015,3,9.57999992,3,1.71500003,3,12.6400003,
628,2019,1,600,15.8900003,3,8.02000046,4.46999979,3,100.300003,3,9.65999985,3,1.71700001,3,12.8100004,
628,2019,1,630,15.8299999,3,7.33900023,4.07000017,3,100.800003,3,9.73999977,3,1.71700001,3,13.0600004,
628,2019,1,700,15.8100004,3,6.88899994,3.79999995,3,101.199997,3,9.80000019,3,1.72500002,3,12.8199997,
628,2019,1,730,15.8100004,3,6.6869998,3.68000007,3,100.699997,3,9.75,3,1.72399998,3,12.6199999,
628,2019,1,800,15.7600002,3,6.88899994,3.79999995,3,100.900002,3,9.77999973,3,1.73899996,3,13.1800003,
628,2019,1,830,15.7799997,3,7.07800007,3.91000009,3,99.8000031,3,9.65999985,3,1.74899995,3,12.7399998,
628,2019,1,900,15.7700005,3,6.89900017,3.80999994,3,99.5999985,3,9.64999962,3,1.75699997,3,12.7799997,
628,2019,1,930,15.9700003,3,13.75,7.98000002,3,93.1999969,3,8.77000046,3,1.75600004,3,12.1999998,
628,2019,1,1000,16.0799999,3,15.5200005,9.10000038,3,90.5,3,8.43999958,3,1.76600003,3,13.25,
628,2019,1,1030,16.0400009,3,14.5200005,8.46000004,3,92,3,8.61999989,3,1.78999996,3,14.2600002,
628,2019,1,1100,16.0200005,3,13.2399998,7.65999985,3,91.5999985,3,8.63000011,3,1.80599999,3,12.4200001,
628,2019,1,1130,16,3,10.9499998,6.25,3,94.1999969,3,8.94999981,3,1.82200003,3,13.9300003,
628,2019,1,1200,16.0599995,3,12.7399998,7.3499999,3,94.8000031,3,8.93999958,3,1.84099996,3,27.3799992,
628,2019,1,1230,16.1599998,3,15.0200005,8.77999973,3,91,3,8.48999977,3,1.86199999,3,21.1100006,
628,2019,1,1300,16.1599998,3,15.2600002,8.93000031,3,90.6999969,3,8.46000004,3,1.87399995,3,15.1199999,
628,2019,1,1330,16.2399998,3,17.5499992,10.3900003,3,90,3,8.30000019,3,1.89499998,3,12.0799999,
628,2019,1,1400,16.2399998,3,17.4300003,10.3100004,3,90.8000031,3,8.36999989,3,1.89600003,3,24.3899994,
628,2019,1,1430,16.2700005,3,18.1499996,10.7799997,3,88.3000031,3,8.11999989,3,1.93799996,3,14.6899996,
628,2019,1,1500,16.2800007,3,18,10.6800003,3,89.1999969,3,8.19999981,3,1.95899999,3,11.4399996,
628,2019,1,1530,16.2800007,3,16.7399998,9.86999989,3,88.9000015,3,8.22000027,3,1.98199999,3,12.3100004,
628,2019,1,1600,16.4500008,3,20.1200008,12.0500002,3,85.6999969,3,7.78999996,3,1.98699999,3,14.5600004,
628,2019,1,1630,16.8099995,3,19.9400005,11.9399996,3,84.4000015,3,7.61999989,3,1.98399997,3,14.0799999,
628,2019,1,1700,17.0400009,3,21.3199997,12.8400002,3,84,3,7.51000023,3,2.01300001,3,12.9700003,
628,2019,1,1730,17.1299992,3,21.8799992,13.21,3,84.5999985,3,7.53000021,3,1.98599994,3,11.5799999,
628,2019,1,1800,17.2099991,3,20.2399998,12.1300001,3,86,3,7.69999981,3,2.00900006,3,10.4399996,
628,2019,1,1830,17.4899998,3,20.6499996,12.3999996,3,89.6999969,3,7.96000004,3,2.00900006,3,9.97000027,
628,2019,1,1900,17.5100002,3,21.6100006,13.0299997,3,87.8000031,3,7.76000023,3,2.02200007,3,8.78999996,
628,2019,1,1930,17.6499996,3,20.7900009,12.4899998,3,89.4000015,3,7.90999985,3,2.02800012,3,8.31999969,
628,2019,1,2000,17.5599995,3,20.6299992,12.3800001,3,89,3,7.88999987,3,2.02600002,3,9.43000031,
628,2019,1,2030,17.6200008,3,19.5799999,11.6999998,3,91.0999985,3,8.10000038,3,2.00399995,3,8.89999962,
628,2019,1,2100,17.5400009,3,21.5799999,13,3,87.9000015,3,7.76999998,3,1.99199998,3,11.1000004,
628,2019,1,2130,17.5900002,3,21.9899998,13.2799997,3,88.4000015,3,7.80000019,3,1.96300006,3,12.1199999,
628,2019,1,2200,17.6700001,3,21.7700005,13.1300001,3,89.4000015,3,7.88000011,3,1.94099998,3,11.6400003,
628,2019,1,2230,17.7399998,3,22.2399998,13.4399996,3,89.6999969,3,7.88000011,3,1.90900004,3,11.8500004,
628,2019,1,2300,17.7399998,3,22.6700001,13.7299995,3,89.6999969,3,7.86000013,3,1.88199997,3,10.9799995,
628,2019,1,2330,17.6800003,3,20.4400005,12.2600002,3,89.8000031,3,7.9000001,3,1.85800004,3,11.1300001,
628,2019,1,2400,16.8299999,3,5.58400011,3.03999996,3,105.699997,3,10.0600004,3,1.84300005,3,17.8400002,
628,2019,2,30,16.6200008,3,5.59399986,3.03999996,3,107.099998,3,10.25,3,1.82099998,3,16.8899994,
628,2019,2,100,16.5799999,3,5.57800007,3.02999997,3,106.699997,3,10.2200003,3,1.78600001,3,18.7000008,
628,2019,2,130,16.5400009,3,5.52600002,3,3,106.599998,3,10.21,3,1.76699996,3,19,
628,2019,2,200,16.5400009,3,5.55499983,3.01999998,3,106.400002,3,10.1999998,3,1.73199999,3,19.5300007,
628,2019,2,230,16.4899998,3,5.42500019,2.95000005,3,106.400002,3,10.21,3,1.71099997,3,18.4200001,
628,2019,2,300,16.3700008,3,5.4289999,2.95000005,3,105.5,3,10.1499996,3,1.68799996,3,19.6599998,
628,2019,2,330,16.2900009,3,5.28599977,2.86999989,3,104.599998,3,10.0799999,3,1.67999995,3,18.4099998,
628,2019,2,400,16.2000008,3,4.99499989,2.70000005,3,103.900002,3,10.0500002,3,1.65699995,3,18.0799999,
628,2019,2,430,16.2000008,3,5.00600004,2.70000005,3,103.699997,3,10.0299997,3,1.648,3,21.0699997,
628,2019,2,500,16.1499996,3,4.86899996,2.63000011,3,103.300003,3,10.0100002,3,1.63499999,3,19.5900002,
628,2019,2,530,16.1000004,3,4.7750001,2.56999993,3,103.199997,3,10,3,1.62199998,3,20.5300007,
628,2019,2,600,16.0499992,3,4.67700005,2.51999998,3,102.900002,3,9.98999977,3,1.62399995,3,19.2800007,
628,2019,2,630,15.9399996,3,4.704,2.52999997,3,102.099998,3,9.93000031,3,1.62199998,3,21.8299999,
628,2019,2,700,15.96,3,5.59100008,3.03999996,3,102.199997,3,9.90999985,3,1.60599995,3,20.6200008,
628,2019,2,730,16.0400009,3,6.29899979,3.45000005,3,102.300003,3,9.88000011,3,1.61000001,3,20.2800007,
628,2019,2,800,16.0499992,3,6.32600021,3.47000003,3,102,3,9.85000038,3,1.61899996,3,34.9300003,
628,2019,2,830,16.1599998,3,7.1329999,3.94000006,3,102.199997,3,9.81999969,3,1.64199996,3,20.3700008,
628,2019,2,900,16.2600002,3,7.53499985,4.17999983,3,103,3,9.85000038,3,1.65600002,3,18.7099991,
628,2019,2,930,16.4599991,3,8.34000015,4.65999985,3,105.199997,3,10,3,1.66600001,3,18.0300007,
628,2019,2,1000,16.5,3,8.56000042,4.78999996,3,105.800003,3,10.04,3,1.69200003,3,16.1399994,
628,2019,2,1030,16.4599991,3,8.35999966,4.67000008,3,104.800003,3,9.96000004,3,1.71300006,3,17.1200008,
628,2019,2,1100,16.4899998,3,8.5,4.76000023,3,105.5,3,10.0100002,3,1.72800004,3,18.2000008,
628,2019,2,1130,16.4899998,3,8.27000046,4.61999989,3,105.099998,3,9.97999954,3,1.72399998,3,25.1299992,
628,2019,2,1200,16.4599991,3,7.66699982,4.26000023,3,104.5,3,9.94999981,3,1.76499999,3,21.4400005,
628,2019,2,1230,16.5200005,3,8.48999977,4.75,3,105.699997,3,10.0299997,3,1.79999995,3,25.0699997,
628,2019,2,1300,16.5599995,3,8.85000038,4.96999979,3,105.800003,3,10.0200005,3,1.82700002,3,20.8600006,
628,2019,2,1330,16.6399994,3,12.5799999,7.25,3,101,3,9.40999985,3,1.84099996,3,30.1599998,
628,2019,2,1400,16.8099995,3,18.9799995,11.3100004,3,96.8000031,3,8.77000046,3,1.87800002,3,67.3700027,
628,2019,2,1430,16.8799992,3,21.3999996,12.8900003,3,95,3,8.52000046,3,1.88100004,3,23.8299999,
628,2019,2,1500,16.9099998,3,22.6399994,13.71,3,93.0999985,3,8.30000019,3,1.91400003,3,15.5500002,
628,2019,2,1530,16.9099998,3,22.1700001,13.3999996,3,94.4000015,3,8.43000031,3,1.95899999,3,55.1800003,
628,2019,2,1600,17.0900002,3,26.9599991,16.5900002,3,89.6999969,3,7.82999992,3,1.96800005,3,27.2299995,
628,2019,2,1630,17.2299995,3,30.5799999,19.0400009,3,86.8000031,3,7.44000006,3,2.00300002,3,20,
628,2019,2,1700,17.4799995,3,34.2900009,21.6000004,3,88.4000015,3,7.42999983,3,2.0309999,3,24.6499996,
628,2019,2,1730,17.5,3,35.3699989,22.3500004,3,87.6999969,3,7.32999992,3,2.04500008,3,108.699997,
628,2019,2,1800,17.7000008,3,34.7799988,21.9300003,3,88.3000031,3,7.28999996,3,2.0539999,3,72.0500031,
628,2019,2,1830,17.6499996,3,33.2200012,20.8500004,3,91.1999969,3,7.67999983,3,2.08400011,3,18.9300003,
628,2019,2,1900,17.5799999,3,21.7700005,13.1300001,3,98.5,3,8.68999958,3,2.10299993,3,13.5200005,
628,2019,2,1930,17.6100006,3,19.1700001,11.4399996,3,99.8000031,3,8.89000034,3,2.10700011,3,12.5100002,
628,2019,2,2000,17.5699997,3,14.6599998,8.55000019,3,100.599998,3,9.11999989,3,2.11800003,3,11.9099998,
628,2019,2,2030,17.5799999,3,13.7200003,7.96000004,3,100.599998,3,9.15999985,3,2.09599996,3,10.7700005,
628,2019,2,2100,17.5799999,3,13.7299995,7.96999979,3,100.400002,3,9.14000034,3,2.09800005,3,10.3199997,
628,2019,2,2130,17.5799999,3,12.9700003,7.48999977,3,98.4000015,3,8.97999954,3,2.08100009,3,10.0500002,
628,2019,2,2200,17.5699997,3,13.5500002,7.8499999,3,99.4000015,3,9.05000019,3,2.06800008,3,10.5299997,
628,2019,2,2230,17.3600006,3,9.09000015,5.11000013,3,103.300003,3,9.60999966,3,2.04999995,3,13.8599997,
628,2019,2,2300,17.4599991,3,13.8100004,8.02000046,3,101.300003,3,9.23999977,3,2.00300002,3,11.5500002,
628,2019,2,2330,17.5699997,3,14.0100002,8.14000034,3,100.400002,3,9.13000011,3,1.99000001,3,9.93999958,
628,2019,2,2400,17.2600002,3,10.4899998,5.96000004,3,100.400002,3,9.31000042,3,1.95799994,3,14.5600004,
628,2019,3,30,16.7299995,3,8.27000046,4.61999989,3,101.599998,3,9.60000038,3,1.92400002,3,16.8099995,
628,2019,3,100,16.5300007,3,7.99100018,4.44999981,3,101.900002,3,9.68000031,3,1.88,3,14.6000004,
628,2019,3,130,16.5699997,3,8.85999966,4.96999979,3,101.800003,3,9.63000011,3,1.87699997,3,12.8299999,
628,2019,3,200,16.5599995,3,8.73999977,4.9000001,3,101.800003,3,9.64000034,3,1.85000002,3,13.2200003,
628,2019,3,230,16.5699997,3,8.71000004,4.88000011,3,101.599998,3,9.61999989,3,1.80599999,3,13.4200001,
628,2019,3,300,16.5900002,3,8.93999958,5.01999998,3,101.5,3,9.60000038,3,1.78400004,3,12.9899998,
628,2019,3,330,16.6000004,3,8.92000008,5.01000023,3,101.300003,3,9.57999992,3,1.75699997,3,12.7399998,
628,2019,3,400,16.6100006,3,8.67000008,4.86000013,3,101.5,3,9.60999966,3,1.72800004,3,12.8999996,
628,2019,3,430,16.6000004,3,8.60000038,4.82000017,3,101.800003,3,9.64000034,3,1.69799995,3,12.8800001,
628,2019,3,500,16.5799999,3,8.27000046,4.61999989,3,101.599998,3,9.63000011,3,1.69200003,3,13.5200005,
628,2019,3,530,16.4899998,3,7.77099991,4.32000017,3,101.300003,3,9.64000034,3,1.68700004,3,15.1199999,
628,2019,3,600,16.4799995,3,7.56500006,4.19999981,3,101.5,3,9.67000008,3,1.676,3,17.8899994,
628,2019,3,630,16.3899994,3,6.97900009,3.8499999,3,101.400002,3,9.69999981,3,1.66799998,3,17.2099991,
628,2019,3,700,16.3999996,3,7.03599977,3.8900001,3,101.5,3,9.69999981,3,1.64699996,3,18.8400002,
628,2019,3,730,16.2999992,3,6.6960001,3.69000006,3,101.400002,3,9.72000027,3,1.59899998,3,21.9300003,
628,2019,3,800,16.1700001,3,6.23600006,3.42000008,3,100.699997,3,9.69999981,3,1.60699999,3,27.8299999,
628,2019,3,830,16.0799999,3,5.90799999,3.23000002,3,100.300003,3,9.68999958,3,1.61699998,3,24.6599998,
628,2019,3,900,16.0699997,3,5.88800001,3.21000004,3,100.300003,3,9.68999958,3,1.58700001,3,25.4099998,
628,2019,3,930,16.0100002,3,5.50299978,2.99000001,3,100.400002,3,9.72999954,3,1.58599997,3,25.6700001,
628,2019,3,1000,16,3,5.3210001,2.8900001,3,100.099998,3,9.71000004,3,1.59899998,3,34.4599991,
628,2019,3,1030,16.0300007,3,5.41200018,2.94000006,3,100.300003,3,9.72000027,3,1.58500004,3,26.6200008,
628,2019,3,1100,16.0900002,3,5.68300009,3.0999999,3,100.5,3,9.71000004,3,1.61300004,3,26.5599995,
628,2019,3,1130,16.3299999,3,8.52999973,4.76999998,3,98.9000015,3,9.42000008,3,1.61300004,3,27.8099995,
628,2019,3,1200,16.3999996,3,8.81000042,4.94000006,3,98,3,9.31000042,3,1.64300001,3,25.8199997,
628,2019,3,1230,16.3899994,3,7.91200018,4.40999985,3,98.9000015,3,9.43000031,3,1.66100001,3,21.3600006,
628,2019,3,1300,16.4300003,3,8.42000008,4.71000004,3,98.6999969,3,9.38000011,3,1.68599999,3,23.7099991,
628,2019,3,1330,16.4099998,3,8.10999966,4.53000021,3,98.0999985,3,9.34000015,3,1.78600001,3,19.7600002,
628,2019,3,1400,16.4400005,3,6.80299997,3.75,3,99.9000015,3,9.55000019,3,1.829,3,19.3500004,
628,2019,3,1430,16.3700008,3,6.24900007,3.42000008,3,99.6999969,3,9.56999969,3,1.84300005,3,20.8099995,
628,2019,3,1500,17.0400009,3,19.1200008,11.3999996,3,99.3000031,3,8.94999981,3,1.88100004,3,129.199997,
628,2019,3,1530,17.4599991,3,26.5799999,16.3299999,3,96.6999969,3,8.39000034,3,1.89600003,3,94.5,
628,2019,3,1600,17.5900002,3,31.5599995,19.7099991,3,91.9000015,3,7.80000019,3,1.94700003,3,60.9700012,
628,2019,3,1630,17.6399994,3,33.3400002,20.9400005,3,89.1999969,3,7.5,3,1.977,3,47.3600006,
628,2019,3,1700,17.6800003,3,34.2299995,21.5499992,3,88.5,3,7.40999985,3,2.00900006,3,47.9000015,
628,2019,3,1730,17.8199997,3,37.5900002,23.8899994,3,86.3000031,3,7.0999999,3,2.06500006,3,59.1899986,
628,2019,3,1800,17.9300003,3,39.5800018,25.2999992,3,84.4000015,3,6.86999989,3,2.09100008,3,55.7999992,
628,2019,3,1830,17.8999996,3,39.0200005,24.8999996,3,84.6999969,3,6.92000008,3,2.11599994,3,61.3699989,
628,2019,3,1900,17.9899998,3,41.1300011,26.3999996,3,84.6999969,3,6.8499999,3,2.08500004,3,135.199997,
628,2019,3,1930,18.0300007,3,42.0800018,27.0699997,3,84.5,3,6.80000019,3,2.13599992,3,66.8000031,
628,2019,3,2000,17.9899998,3,41.1399994,26.4099998,3,84.4000015,3,6.82000017,3,2.09200001,3,52.6199989,
628,2019,3,2030,18.0300007,3,41.7900009,26.8700008,3,85.4000015,3,6.88000011,3,2.148,3,88.5,
628,2019,3,2100,17.8299999,3,36.8800011,23.3999996,3,86.6999969,3,7.15999985,3,2.14599991,3,20.2800007,
628,2019,3,2130,17.8199997,3,36.6300011,23.2299995,3,86.9000015,3,7.17999983,3,2.1400001,3,19.3600006,
628,2019,3,2200,16.3400002,3,5.91400003,3.23000002,3,100,3,9.60999966,3,2.17700005,3,18.9899998,
628,2019,3,2230,16.4200001,3,6.98699999,3.8599999,3,98.8000031,3,9.43999958,3,2.15799999,3,22.8600006,
628,2019,3,2300,17.0799999,3,20.4099998,12.2399998,3,92.6999969,3,8.30000019,3,2.13599992,3,29.0699997,
628,2019,3,2330,17.1200008,3,24.9899998,15.2700005,3,92.4000015,3,8.11999989,3,2.11199999,3,24.3899994,
628,2019,3,2400,17.1200008,3,22.7800007,13.8000002,3,92.0999985,3,8.17000008,3,2.1730001,3,12.8800001,
628,2019,4,30,17.0499992,3,14.8400002,8.67000008,3,96.1999969,3,8.81999969,3,2.08800006,3,52.3300018,
628,2019,4,100,17.2399998,3,14.3699999,8.36999989,3,94.5,3,8.64000034,3,1.98000002,3,37.1599998,
628,2019,4,130,17.3799992,3,14.6700001,8.56000042,3,94,3,8.56000042,3,1.95099998,3,23.4599991,
628,2019,4,200,17.4400005,3,14.4700003,8.43000031,3,95,3,8.64999962,3,1.96300006,3,17.5400009,
628,2019,4,230,17.4500008,3,14.3999996,8.39000034,3,95.8000031,3,8.72000027,3,1.98300004,3,15.2200003,
628,2019,4,300,17.4300003,3,14.6300001,8.52999973,3,95,3,8.64000034,3,1.93900001,3,13.6400003,
628,2019,4,330,17.4099998,3,14.6199999,8.52999973,3,94.9000015,3,8.64000034,3,1.93099999,3,13.46,
628,2019,4,400,17.3999996,3,14.6499996,8.55000019,3,95.5999985,3,8.71000004,3,1.91199994,3,20.3199997,
628,2019,4,430,17.3700008,3,14.8100004,8.64999962,3,95.5999985,3,8.69999981,3,1.90699995,3,16.5699997,
628,2019,4,500,17.3099995,3,14.6499996,8.55000019,3,96.6999969,3,8.81999969,3,1.86800003,3,22.7600002,
628,2019,4,530,17.2600002,3,15.0200005,8.77999973,3,96.6999969,3,8.81999969,3,1.82799995,3,30.6399994,
628,2019,4,600,17.2099991,3,15.5,9.07999992,3,95.6999969,3,8.72000027,3,1.83599997,3,37.1100006,
