stationid,yeardata,jday,timedata,watertemp1_avg,watertemp1Flag,sp_cond1_avg,salinity1_avg,salinity1Flag,dis_oxy1_avg,dis_oxy1Flag,dis_oxy2_avg,dis_oxy2Flag,depth1_avg,depth1Flag,comments
122,2019,213,30,31.0499992,3,37.3600006,23.5100002,3,12.1000004,3,0,3,1.27699995,3,
122,2019,213,100,31.1000004,3,37.4199982,23.5599995,3,12.1000004,3,0,3,1.296,3,
122,2019,213,130,31.0100002,3,36.1300011,22.6599998,3,12,3,0,3,1.329,3,
122,2019,213,200,31.3700008,3,39.1800003,24.7900009,3,12,3,0,3,1.29900002,3,
122,2019,213,230,30.4899998,3,42.3600006,27.0599995,3,12,3,0,3,1.329,3,
122,2019,213,300,30.2399998,3,44.1500015,28.3500004,3,12,3,0,3,1.34300005,3,
122,2019,213,330,30.25,3,44.2700005,28.4300003,3,12,3,0,3,1.36300004,3,
122,2019,213,400,30.2700005,3,45.1699982,29.0799999,3,12,3,0,3,1.38100004,3,
122,2019,213,430,30.2999992,3,45.0200005,28.9699993,3,12,3,0,3,1.39900005,3,
122,2019,213,500,30.3099995,3,45.2599983,29.1399994,3,12,3,0,3,1.426,3,
122,2019,213,530,30.2600002,3,44.8199997,28.8299999,3,12,3,0,3,1.46599996,3,
122,2019,213,600,30.2399998,3,44.4199982,28.5400009,3,12.6999998,3,0,3,1.48500001,3,
122,2019,213,630,30.2199993,3,45.0600014,29,3,12.5,3,0,3,1.52400005,3,
122,2019,213,700,30.2299995,3,45.0299988,28.9799995,3,12.5,3,0,3,1.54499996,3,
122,2019,213,730,30.2199993,3,44.8300018,28.8400002,3,12.6000004,3,0,3,1.57099998,3,
122,2019,213,800,30.2399998,3,44.9300003,28.9099998,3,12.6000004,3,0,3,1.56900001,3,
122,2019,213,830,30.2199993,3,44.9399986,28.9099998,3,12.5,3,0,3,1.57299995,3,
122,2019,213,900,30.2299995,3,44.7099991,28.75,3,12.6000004,3,0,3,1.57599998,3,
122,2019,213,930,30.25,3,45.0200005,28.9699993,3,12.6000004,3,0,3,1.57799995,3,
122,2019,213,1000,30.2800007,3,45.0699997,29.0100002,3,12.6000004,3,0,3,1.59200001,3,
122,2019,213,1030,30.2999992,3,45.4099998,29.25,3,12.6999998,3,0,3,1.59599996,3,
122,2019,213,1100,30.3400002,3,45.1199989,29.0400009,3,12.6000004,3,0,3,1.597,3,
122,2019,213,1130,30.4300003,3,44.9000015,28.8799992,3,12.6000004,3,0,3,1.59099996,3,
122,2019,213,1200,30.4599991,3,45.3199997,29.1800003,3,12.6000004,3,0,3,1.55700004,3,
