stationid,yeardata,jday,timedata,watertemp1_avg,watertemp1Flag,sp_cond1_avg,salinity1_avg,salinity1Flag,dis_oxy1_avg,dis_oxy1Flag,dis_oxy2_avg,dis_oxy2Flag,depth1_avg,depth1Flag,comments
122,2019,4,1030,17.0300007,3,31.3999996,19.6000004,3,91.6999969,3,7.86999989,3,0.975000024,3,
122,2019,4,1100,17.2199993,3,27.7299995,17.1000004,3,91.6999969,3,7.96000004,3,1.051,3,
122,2019,4,1130,17.2900009,3,26.0499992,15.9799995,3,91.4000015,3,7.96999979,3,1.03799999,3,
122,2019,4,1300,17.8700008,3,28,17.2900009,3,97.0999985,3,8.31000042,3,1.20899999,3,
122,2019,4,1330,17.9099998,3,30.2299995,18.7999992,3,96.4000015,3,8.17000008,3,1.21800005,3,
122,2019,4,1400,18.0100002,3,26.5799999,16.3299999,3,94.5999985,3,8.13000011,3,1.26900005,3,
122,2019,4,1430,17.9599991,3,28.7299995,17.7800007,3,94.5,3,8.05000019,3,1.29900002,3,
122,2019,4,1500,17.9699993,3,29.8600006,18.5499992,3,94.5,3,8.01000023,3,1.29900002,3,
122,2019,4,1530,18.0100002,3,29.3799992,18.2199993,3,93.5999985,3,7.94999981,3,1.30900002,3,
122,2019,4,1600,17.9500008,3,32.1399994,20.1100006,3,92.5999985,3,7.78000021,3,1.30400002,3,
122,2019,4,1630,17.7800007,3,36.4399986,23.0900002,3,95.8000031,3,7.92999983,3,1.29700005,3,
122,2019,4,1700,17.6900005,3,38.8499985,24.7900009,3,97.5999985,3,8.01000023,3,1.324,3,
122,2019,4,1730,17.6000004,3,40.6800003,26.0799999,3,98.1999969,3,8.01000023,3,1.33099997,3,
122,2019,4,1800,17.5499992,3,41.4500008,26.6299992,3,97.9000015,3,7.96999979,3,1.35800004,3,
122,2019,4,1830,17.5400009,3,41.5499992,26.7000008,3,97.5,3,7.94000006,3,1.36800003,3,
122,2019,4,1900,17.5100002,3,41.9500008,26.9799995,3,97,3,7.88999987,3,1.39199996,3,
122,2019,4,1930,17.4699993,3,42.0900002,27.0799999,3,97.0999985,3,7.88999987,3,1.38199997,3,
